target,source,flow
Maryland,Arkansas,54
Maryland,California,10859
Maryland,Colorado,3002
Maryland,Connecticut,2006
Maryland,Delaware,6454
Maryland,District of Columbia ,22051
Maryland,Florida,10321
Maryland,Georgia,5056
Maryland,Hawaii,3228
Maryland,Idaho,0
Maryland,Illinois,2248
Maryland,Indiana,2016
Maryland,Iowa,679
Maryland,Kansas,881
Maryland,Kentucky,391
Maryland,Louisiana,323
Maryland,Maine,109
Maryland,Massachusetts,3259
Maryland,Michigan,1915
Maryland,Minnesota,638
Maryland,Mississippi,767
Maryland,Missouri,1905
Maryland,Montana,148
Maryland,Nebraska,850
Maryland,Nevada,988
Maryland,New Hampshire,440
Maryland,New Jersey,7283
Maryland,New Mexico,344
Maryland,New York,10850
Maryland,North Carolina,5562
Maryland,North Dakota,184
Maryland,Ohio,3477
Maryland,Oklahoma,533
Maryland,Oregon,299
Maryland,Pennsylvania,14928
Maryland,Rhode Island,799
Maryland,South Carolina,1764
Maryland,South Dakota,96
Maryland,Tennessee,1634
Maryland,Texas,5611
Maryland,Utah,318
Maryland,Vermont,174
Maryland,Virginia,24293
Maryland,Washington,1561
Maryland,West Virginia,2605
Maryland,Wisconsin,1183
Maryland,Wyoming,272
Massachusetts,Alabama,269
Massachusetts,Alaska,459
Massachusetts,Arizona,2110
Massachusetts,Arkansas,576
Massachusetts,California,9519
Massachusetts,Colorado,2046
Massachusetts,Connecticut,8283
Massachusetts,Delaware,709
Massachusetts,District of Columbia ,1213
Massachusetts,Florida,11835
Massachusetts,Georgia,2383
Massachusetts,Hawaii,228
Massachusetts,Idaho,422
Massachusetts,Illinois,3192
Massachusetts,Indiana,1267
