target,source,flow,year
Iowa,West Virginia,0,2010
Iowa,Wisconsin,2705,2010
Iowa,Wyoming,111,2010
Kansas,Alabama,44,2010
Kansas,Alaska,1050,2010
Kansas,Arizona,2238,2010
Kansas,Arkansas,1596,2010
Kansas,California,6125,2010
Kansas,Colorado,6022,2010
Kansas,Connecticut,85,2010
Kansas,Delaware,238,2010
Kansas,District of Columbia ,0,2010
Kansas,Florida,2863,2010
Kansas,Georgia,1916,2010
Kansas,Hawaii,128,2010
Kansas,Idaho,398,2010
Kansas,Illinois,2943,2010
Kansas,Indiana,1544,2010
Kansas,Iowa,1875,2010
Kansas,Kentucky,1048,2010
Kansas,Louisiana,890,2010
Kansas,Maine,0,2010
Kansas,Maryland,1369,2010
Kansas,Massachusetts,100,2010
Kansas,Michigan,806,2010
Kansas,Minnesota,1562,2010
Kansas,Mississippi,167,2010
Kansas,Missouri,23384,2010
Kansas,Montana,289,2010
Kansas,Nebraska,2678,2010
Kansas,Nevada,1318,2010
Kansas,New Hampshire,76,2010
Kansas,New Jersey,1743,2010
Kansas,New Mexico,873,2010
Kansas,New York,2390,2010
Kansas,North Carolina,1083,2010
Kansas,North Dakota,225,2010
Kansas,Ohio,1509,2010
Kansas,Oklahoma,7568,2010
Kansas,Oregon,514,2010
Kansas,Pennsylvania,563,2010
Kansas,Rhode Island,39,2010
Kansas,South Carolina,137,2010
Kansas,South Dakota,352,2010
Kansas,Tennessee,1152,2010
Kansas,Texas,9217,2010
Kansas,Utah,238,2010
Kansas,Vermont,75,2010
Kansas,Virginia,1648,2010
Kansas,Washington,1175,2010
Kansas,West Virginia,0,2010
Kansas,Wisconsin,1233,2010
Kansas,Wyoming,573,2010
Kentucky,Alabama,2161,2010
Kentucky,Alaska,3017,2010
Kentucky,Arizona,2598,2010
Kentucky,Arkansas,558,2010
Kentucky,California,3779,2010
Kentucky,Colorado,329,2010
Kentucky,Connecticut,698,2010
Kentucky,Delaware,38,2010
Kentucky,District of Columbia ,147,2010
Kentucky,Florida,10119,2010
Kentucky,Georgia,6397,2010
Kentucky,Hawaii,520,2010
Kentucky,Idaho,71,2010
Kentucky,Illinois,4659,2010
Kentucky,Indiana,11906,2010
Kentucky,Iowa,656,2010
Kentucky,Kansas,1109,2010
Kentucky,Louisiana,437,2010
