target,source,flow
Indiana,Illinois,29526
Indiana,Iowa,1825
Indiana,Kansas,1590
Indiana,Kentucky,11298
Indiana,Louisiana,1223
Indiana,Maine,0
Indiana,Maryland,1093
Indiana,Massachusetts,957
Indiana,Michigan,8377
Indiana,Minnesota,1400
Indiana,Mississippi,641
Indiana,Missouri,1288
Indiana,Montana,192
Indiana,Nebraska,518
Indiana,Nevada,919
Indiana,New Hampshire,69
Indiana,New Jersey,2836
Indiana,New Mexico,1459
Indiana,New York,1551
Indiana,North Carolina,3293
Indiana,North Dakota,78
Indiana,Ohio,10940
Indiana,Oklahoma,1695
Indiana,Oregon,668
Indiana,Pennsylvania,1341
Indiana,Rhode Island,0
Indiana,South Carolina,962
Indiana,South Dakota,372
Indiana,Tennessee,5122
Indiana,Texas,10543
Indiana,Utah,1240
Indiana,Vermont,512
Indiana,Virginia,1867
Indiana,Washington,2782
Indiana,West Virginia,1044
Indiana,Wisconsin,3757
Indiana,Wyoming,0
Iowa,Alabama,817
Iowa,Alaska,629
Iowa,Arizona,2346
Iowa,Arkansas,693
Iowa,California,2625
Iowa,Colorado,2257
Iowa,Connecticut,150
Iowa,Delaware,95
Iowa,District of Columbia ,0
Iowa,Florida,3945
Iowa,Georgia,2475
Iowa,Hawaii,266
Iowa,Idaho,1005
Iowa,Illinois,12997
Iowa,Indiana,1390
Iowa,Kansas,2895
Iowa,Kentucky,467
Iowa,Louisiana,327
Iowa,Maine,54
Iowa,Maryland,579
Iowa,Massachusetts,288
Iowa,Michigan,629
Iowa,Minnesota,6834
Iowa,Mississippi,164
Iowa,Missouri,4510
Iowa,Montana,443
Iowa,Nebraska,6639
Iowa,Nevada,874
Iowa,New Hampshire,46
Iowa,New Jersey,205
Iowa,New Mexico,138
Iowa,New York,306
Iowa,North Carolina,1827
Iowa,North Dakota,332
Iowa,Ohio,991
Iowa,Oklahoma,478
Iowa,Oregon,707
Iowa,Pennsylvania,1418
Iowa,Rhode Island,158
Iowa,South Carolina,411
Iowa,South Dakota,2685
Iowa,Tennessee,1152
Iowa,Texas,3315
Iowa,Utah,489
Iowa,Vermont,227
Iowa,Virginia,774
Iowa,Washington,1405
Iowa,West Virginia,550
Iowa,Wisconsin,3011
Iowa,Wyoming,54
Kansas,Alabama,276
Kansas,Alaska,515
Kansas,Arizona,1404
Kansas,Arkansas,1225
Kansas,California,6511
Kansas,Colorado,5871
Kansas,Connecticut,412
Kansas,Delaware,0
Kansas,District of Columbia ,5
Kansas,Florida,2661
Kansas,Georgia,2490
Kansas,Hawaii,419
Kansas,Idaho,54
Kansas,Illinois,2840
Kansas,Indiana,1433
Kansas,Iowa,2119
Kansas,Kentucky,168
Kansas,Louisiana,580
Kansas,Maine,24
Kansas,Maryland,623
Kansas,Massachusetts,417
Kansas,Michigan,378
Kansas,Minnesota,679
Kansas,Mississippi,552
Kansas,Missouri,21605
Kansas,Montana,338
Kansas,Nebraska,2939
Kansas,Nevada,785
Kansas,New Hampshire,338
Kansas,New Jersey,408
Kansas,New Mexico,493
Kansas,New York,2196
Kansas,North Carolina,1165
Kansas,North Dakota,90
Kansas,Ohio,2044
Kansas,Oklahoma,6508
Kansas,Oregon,333
Kansas,Pennsylvania,674
Kansas,Rhode Island,0
Kansas,South Carolina,0
Kansas,South Dakota,729
Kansas,Tennessee,788
Kansas,Texas,9814
Kansas,Utah,981
Kansas,Vermont,0
Kansas,Virginia,1029
Kansas,Washington,801
Kansas,West Virginia,0
Kansas,Wisconsin,317
Kansas,Wyoming,123
Kentucky,Alabama,2851
Kentucky,Alaska,506
Kentucky,Arizona,333
Kentucky,Arkansas,342
Kentucky,California,4466
Kentucky,Colorado,614
Kentucky,Connecticut,799
Kentucky,Delaware,558
Kentucky,District of Columbia ,51
Kentucky,Florida,6318
Kentucky,Georgia,2654
Kentucky,Hawaii,222
Kentucky,Idaho,31
Kentucky,Illinois,5333
Kentucky,Indiana,10192
Kentucky,Iowa,558
Kentucky,Kansas,1068
Kentucky,Louisiana,1205
Kentucky,Maine,0
Kentucky,Maryland,1413
Kentucky,Massachusetts,555
Kentucky,Michigan,1602
Kentucky,Minnesota,577
Kentucky,Mississippi,495
Kentucky,Missouri,1643
Kentucky,Montana,169
Kentucky,Nebraska,570
Kentucky,Nevada,215
Kentucky,New Hampshire,292
Kentucky,New Jersey,730
Kentucky,New Mexico,1409
Kentucky,New York,2115
Kentucky,North Carolina,3228
Kentucky,North Dakota,132
Kentucky,Ohio,19493
Kentucky,Oklahoma,1345
Kentucky,Oregon,368
Kentucky,Pennsylvania,1543
Kentucky,Rhode Island,154
Kentucky,South Carolina,1473
Kentucky,South Dakota,73
Kentucky,Tennessee,11642
Kentucky,Texas,6677
Kentucky,Utah,0
Kentucky,Vermont,85
Kentucky,Virginia,2453
Kentucky,Washington,1428
Kentucky,West Virginia,2140
Kentucky,Wisconsin,1599
Kentucky,Wyoming,266
Louisiana,Alabama,2830
Louisiana,Alaska,199
Louisiana,Arizona,520
Louisiana,Arkansas,3289
Louisiana,California,5534
Louisiana,Colorado,1575
Louisiana,Connecticut,407
Louisiana,Delaware,0
Louisiana,District of Columbia ,100
Louisiana,Florida,4404
Louisiana,Georgia,3382
Louisiana,Hawaii,555
Louisiana,Idaho,0
Louisiana,Illinois,1829
Louisiana,Indiana,327
Louisiana,Iowa,472
Louisiana,Kansas,581
Louisiana,Kentucky,443
Louisiana,Maine,0
Louisiana,Maryland,756
Louisiana,Massachusetts,350
Louisiana,Michigan,2003
Louisiana,Minnesota,84
Louisiana,Mississippi,9011
Louisiana,Missouri,975
Louisiana,Montana,347
Louisiana,Nebraska,141
Louisiana,Nevada,237
Louisiana,New Hampshire,595
Louisiana,New Jersey,522
Louisiana,New Mexico,298
Louisiana,New York,1854
Louisiana,North Carolina,1931
Louisiana,North Dakota,363
Louisiana,Ohio,983
Louisiana,Oklahoma,912
Louisiana,Oregon,265
Louisiana,Pennsylvania,883
Louisiana,Rhode Island,48
Louisiana,South Carolina,903
Louisiana,South Dakota,16
Louisiana,Tennessee,1733
Louisiana,Texas,17674
Louisiana,Utah,34
Louisiana,Vermont,0
Louisiana,Virginia,2073
Louisiana,Washington,623
Louisiana,West Virginia,261
Louisiana,Wisconsin,319
Louisiana,Wyoming,195
Maine,Alabama,246
Maine,Alaska,163
Maine,Arizona,322
Maine,Arkansas,12
Maine,California,1578
Maine,Colorado,849
Maine,Connecticut,1690
Maine,Delaware,111
Maine,District of Columbia ,124
Maine,Florida,3059
Maine,Georgia,1241
Maine,Hawaii,0
Maine,Idaho,180
Maine,Illinois,152
Maine,Indiana,99
Maine,Iowa,0
Maine,Kansas,0
Maine,Kentucky,41
Maine,Louisiana,455
Maine,Maryland,88
Maine,Massachusetts,7567
Maine,Michigan,227
Maine,Minnesota,241
Maine,Mississippi,67
Maine,Missouri,659
Maine,Montana,0
Maine,Nebraska,276
Maine,Nevada,64
Maine,New Hampshire,4274
Maine,New Jersey,662
Maine,New Mexico,38
Maine,New York,2478
Maine,North Carolina,1074
Maine,North Dakota,0
Maine,Ohio,427
Maine,Oklahoma,11
Maine,Oregon,294
Maine,Pennsylvania,1629
Maine,Rhode Island,336
Maine,South Carolina,189
Maine,South Dakota,0
Maine,Tennessee,255
Maine,Texas,491
Maine,Utah,444
Maine,Vermont,569
Maine,Virginia,1162
Maine,Washington,336
Maine,West Virginia,72
Maine,Wisconsin,0
Maine,Wyoming,0
Maryland,Alabama,644
Maryland,Alaska,961
Maryland,Arizona,1689
Maryland,Arkansas,410
Maryland,California,8994
Maryland,Colorado,2182
Maryland,Connecticut,1726
Maryland,Delaware,5455
Maryland,District of Columbia ,22811
Maryland,Florida,7755
Maryland,Georgia,6343
Maryland,Hawaii,3167
Maryland,Idaho,347
Maryland,Illinois,2615
Maryland,Indiana,1887
Maryland,Iowa,383
Maryland,Kansas,451
Maryland,Kentucky,899
Maryland,Louisiana,394
Maryland,Maine,197
Maryland,Massachusetts,2845
Maryland,Michigan,1371
Maryland,Minnesota,731
Maryland,Mississippi,806
Maryland,Missouri,253
Maryland,Montana,78
Maryland,Nebraska,0
Maryland,Nevada,1351
Maryland,New Hampshire,264
Maryland,New Jersey,6361
Maryland,New Mexico,1066
Maryland,New York,13538
Maryland,North Carolina,9437
Maryland,North Dakota,325
Maryland,Ohio,2818
Maryland,Oklahoma,1094
Maryland,Oregon,187
Maryland,Pennsylvania,12297
Maryland,Rhode Island,572
Maryland,South Carolina,1862
Maryland,South Dakota,0
Maryland,Tennessee,977
Maryland,Texas,6890
Maryland,Utah,810
Maryland,Vermont,386
Maryland,Virginia,23315
Maryland,Washington,1839
Maryland,West Virginia,3926
Maryland,Wisconsin,901
Maryland,Wyoming,44
Massachusetts,Alabama,212
Massachusetts,Alaska,539
Massachusetts,Arizona,1030
Massachusetts,Arkansas,207
Massachusetts,California,12745
Massachusetts,Colorado,1857
Massachusetts,Connecticut,9140
Massachusetts,Delaware,1582
Massachusetts,District of Columbia ,1419
Massachusetts,Florida,11499
Massachusetts,Georgia,3694
Massachusetts,Hawaii,481
Massachusetts,Idaho,732
Massachusetts,Illinois,2301
Massachusetts,Indiana,1134
Massachusetts,Iowa,332
